image_id,teeth,dental_hardware,lips,facial_skin,facial_jaw_contour,distinctive_marker,other,notes
E01,2,2,1,0,0,0,0,"Teeth and dental hardware are clearly visible; lip tissue is possibly visible."
E02,2,0,0,2,0,0,1,"Teeth and facial skin are clearly visible; no dental hardware; other non-tongue content is possibly visible."
E03,1,0,2,1,0,0,0,"Teeth and facial skin are possibly visible; lip tissue is clearly visible."
E04,2,0,1,2,0,0,0,"Teeth and facial skin are clearly visible; no dental hardware; lip tissue is possibly visible."
E05,0,0,0,2,0,0,0,"Facial skin below the tongue is clearly visible."
E06,0,0,0,2,0,0,0,"Facial skin below the tongue is clearly visible."
E07,0,0,0,2,0,0,0,"Facial skin below the tongue is clearly visible."
E08,0,0,2,2,0,0,0,"Lip tissue and facial skin are clearly visible."
E09,2,0,2,2,0,0,0,"Teeth, lip tissue, and facial skin are clearly visible; no dental hardware."
E10,1,0,0,0,0,0,0,"Teeth are possibly visible."
E11,0,0,1,2,0,0,0,"Lip tissue is possibly visible and facial skin is clearly visible."
E12,2,0,0,2,0,0,0,"Teeth and facial skin are clearly visible."
E13,2,0,0,0,0,0,0,"Teeth are clearly visible."
E14,2,0,1,1,0,0,0,"Teeth are clearly visible; lip tissue and facial skin are possibly visible."
E15,1,0,0,1,0,0,0,"Teeth and facial skin are possibly visible."
